seq_num,tm
209,1681190264.3400402
869,1681190264.3577049
1985,1681190264.3624718
2053,1681190264.3634715
2973,1681190264.372654
3189,1681190264.3747869
3569,1681190264.376007
3909,1681190264.376625
4073,1681190264.38882
4217,1681190264.3898203
4261,1681190264.3908186
4537,1681190264.3918154
4893,1681190264.3918154
5445,1681190264.4057052
6437,1681190264.4086964
6561,1681190264.4096937
8309,1681190264.4136837
8549,1681190264.934185
9129,1681190264.9536922
9809,1681190264.954723
9941,1681190264.9559155
10129,1681190264.9567542
11085,1681190264.9834855
11153,1681190264.9842236
11241,1681190264.9850585
11385,1681190264.9860597
11957,1681190264.9870558
12057,1681190264.9877787
12589,1681190264.9886062
13189,1681190265.0215774
13237,1681190265.0225794
13949,1681190265.0235744
15005,1681190265.0282753
15105,1681190265.0292704
15161,1681190265.0292704
15853,1681190265.0420003
16421,1681190265.0579648
16473,1681190265.0589619
16833,1681190265.05996
16925,1681190265.05996
17033,1681190265.0609565
17065,1681190265.061926
17289,1681190265.0626059
17785,1681190265.063634
18477,1681190265.0656009
19725,1681190265.0695932
19829,1681190265.0705998
20953,1681190265.0736063
21053,1681190265.0745795
21245,1681190265.0795574
21265,1681190265.0795574
21461,1681190265.0805588
21597,1681190265.0815563
21781,1681190265.0825517
22621,1681190265.086542
22773,1681190265.0875392
22793,1681190265.0875392
23009,1681190265.0913138
23429,1681190265.092288
23601,1681190265.092288
23749,1681190265.092288
23957,1681190265.0932868
24181,1681190265.0952816
24245,1681190265.0962787
24489,1681190265.0972764
24541,1681190265.097449
24665,1681190265.097449
25537,1681190265.122508
25657,1681190265.123018
25913,1681190265.1240907
25957,1681190265.125484
26045,1681190265.1531186
26221,1681190265.157104
27005,1681190265.196998
27077,1681190265.1979978
27493,1681190265.1989942
28021,1681190265.199995
28041,1681190265.200988
28129,1681190265.201987
28245,1681190265.2174487
28513,1681190265.218446
28761,1681190265.2194426
29045,1681190265.2448952
29157,1681190265.2458937
29341,1681190265.2468882
29653,1681190265.2478855
30173,1681190265.2628496
30473,1681190265.2628496
31137,1681190265.2760563
31281,1681190265.2772923
31577,1681190265.2781618
31609,1681190265.2781618
32081,1681190265.2791648
33345,1681190265.2880564
33545,1681190265.2890546
33833,1681190265.290052
34125,1681190265.2910502
34217,1681190265.2920463
34905,1681190265.2930427
34945,1681190265.294043
35257,1681190265.316558
35841,1681190265.3195522
35853,1681190265.3205502
36437,1681190265.326534
36865,1681190265.3285568
37421,1681190265.3523707
37513,1681190265.353369
38205,1681190265.3785112
38421,1681190265.3805003
39141,1681190265.3854825
40037,1681190265.411466
40093,1681190265.414457
40133,1681190265.4164522
40481,1681190265.418453
41649,1681190265.4214375
41733,1681190265.4224343
41753,1681190265.4234319
42341,1681190265.453752
42801,1681190265.4569597
43369,1681190265.4874392
43485,1681190265.4904304
44081,1681190265.4934275
44477,1681190265.5233912
44493,1681190265.5243845
44657,1681190265.5254474
44845,1681190265.5259554
45641,1681190265.5463169
47057,1681190265.5744083
47705,1681190265.6011472
48073,1681190265.638427
48137,1681190265.6414168
48281,1681190265.6454742
48485,1681190265.6483996
49053,1681190265.6533873
49073,1681190265.656379
49821,1681190265.6813493
50333,1681190265.6983027
50553,1681190265.7012947
50825,1681190265.7042847
51081,1681190265.7062774
51165,1681190265.7084892
51481,1681190265.711393
51613,1681190265.713397
51837,1681190265.714394
52413,1681190265.7257516
53097,1681190265.7347276
53821,1681190265.7377214
53829,1681190265.7387254
54753,1681190265.7541835
54881,1681190265.7559867
55161,1681190265.7595973
55741,1681190265.7603154
56381,1681190265.7882519
56837,1681190265.7902484
57877,1681190265.8167372
58109,1681190265.8456056
58221,1681190265.8485959
58705,1681190265.8525856
58729,1681190265.8546746
58817,1681190265.8578763
58893,1681190265.8608835
59229,1681190265.8658512
60205,1681190265.901564
60565,1681190265.904555
61213,1681190265.9085505
61633,1681190265.9095428
61833,1681190265.9115403
62409,1681190265.9255629
62525,1681190265.9265897
62605,1681190265.9275584
62801,1681190265.9285574
62941,1681190265.9295547
62977,1681190265.9305506
62605,1681190265.933543
63481,1681190265.9365354
64209,1681190265.9441803
64433,1681190265.9451797
289,1681190265.957147
685,1681190265.958144
1917,1681190265.9760778
2849,1681190265.9800696
3381,1681190266.0085158
3945,1681190266.0093422
4429,1681190266.0469697
5097,1681190266.053958
5333,1681190266.059941
6221,1681190266.079884
6289,1681190266.0828779
6449,1681190266.0848708
6517,1681190266.0868647
7461,1681190266.0908542
7545,1681190266.0928476
8397,1681190266.112799
9425,1681190266.113796
9593,1681190266.1147926
10117,1681190266.132747
11213,1681190266.1407256
11721,1681190266.1417227
11865,1681190266.1417227
12173,1681190266.1427207
12489,1681190266.1437163
12609,1681190266.1437163
12637,1681190266.1447139
12913,1681190266.1447139
13037,1681190266.145719
13213,1681190266.1646633
13925,1681190266.1656604
12637,1681190266.1676743
14057,1681190266.1796248
14137,1681190266.180623
14577,1681190266.1816227
15661,1681190266.1895986
16317,1681190266.2088554
16373,1681190266.2098525
16841,1681190266.2108498
16953,1681190266.2108498
17665,1681190266.2344947
18641,1681190266.2594302
18749,1681190266.262422
19285,1681190266.2654133
20129,1681190266.2883527
20157,1681190266.2893505
20369,1681190266.290348
20973,1681190266.2913451
21221,1681190266.292343
21397,1681190266.29334
21441,1681190266.2943373
21453,1681190266.2943373
21661,1681190266.2953346
22109,1681190266.2963321
22201,1681190266.3083034
22253,1681190266.3093
22305,1681190266.3093
22313,1681190266.3102975
22485,1681190266.3102975
23669,1681190266.3392227
24001,1681190266.3640995
24357,1681190266.3660946
25505,1681190266.3983035
25505,1681190266.4153123
27341,1681190266.4470594
28365,1681190266.4520464
28465,1681190266.4540405
28537,1681190266.4550376
28885,1681190266.480696
29641,1681190266.4966555
29809,1681190266.5016434
30097,1681190266.5046358
30373,1681190266.5116544
30505,1681190266.513614
30861,1681190266.5146117
31185,1681190266.5385442
31829,1681190266.5405395
31921,1681190266.5405395
32073,1681190266.5435321
32477,1681190266.5445287
33101,1681190266.545526
33361,1681190266.5696356
33481,1681190266.5716305
34493,1681190266.5977976
34697,1681190266.6027834
34881,1681190266.606773
35229,1681190266.622419
36957,1681190266.6391575
37677,1681190266.674654
37921,1681190266.6786516
37961,1681190266.6811357
38113,1681190266.6967208
38213,1681190266.7004092
38245,1681190266.7023995
38785,1681190266.7073793
39033,1681190266.755281
39465,1681190266.7589073
39821,1681190266.7619574
40189,1681190266.7855303
40229,1681190266.7885394
40257,1681190266.7905257
40393,1681190266.7935154
40565,1681190266.7965076
39465,1681190266.7996912
41461,1681190266.8247175
43609,1681190266.8598003
44213,1681190266.8627868
44217,1681190266.8637424
44429,1681190266.8657372
44701,1681190266.8687272
46125,1681190266.8727562
46357,1681190266.8741179
46361,1681190266.8753715
46881,1681190266.9025452
47633,1681190266.9290404
48477,1681190266.9312696
48833,1681190266.9321682
48885,1681190266.9335382
49405,1681190266.9484189
49885,1681190266.9503767
50021,1681190266.9737203
50321,1681190266.9749494
50353,1681190266.9759912
50741,1681190266.9779904
50773,1681190266.9789464
51129,1681190266.980978
51521,1681190267.0066946
51641,1681190267.0073066
51737,1681190267.0093064
51981,1681190267.0103061
52945,1681190267.0401926
53165,1681190267.0421867
53525,1681190267.0432267
53665,1681190267.045179
54085,1681190267.051164
54177,1681190267.052161
55205,1681190267.0546381
55253,1681190267.0558474
55477,1681190267.064829
55721,1681190267.0668252
55757,1681190267.0678227
56181,1681190267.071812
56237,1681190267.072809
56425,1681190267.072809
56433,1681190267.073806
57121,1681190267.0777967
58317,1681190267.096747
58573,1681190267.097744
58657,1681190267.0987418
58865,1681190267.0997396
59717,1681190267.104726
59797,1681190267.1057236
59837,1681190267.106721
60133,1681190267.1302936
60273,1681190267.1311674
61605,1681190267.1353843
61753,1681190267.1363838
62013,1681190267.1373835
62081,1681190267.1383967
62097,1681190267.139058
62125,1681190267.139058
62645,1681190267.1512978
62821,1681190267.154286
62997,1681190267.1562805
63185,1681190267.163166
64149,1681190267.1692243
64569,1681190267.171218
65205,1681190267.172217
65225,1681190267.1732125
65393,1681190267.1742098
413,1681190267.1788733
445,1681190267.1788733
2013,1681190267.709879
2657,1681190267.710849
3269,1681190267.7118504
3961,1681190267.7138448
4445,1681190267.738291
4801,1681190267.7388625
5785,1681190267.7449818
6029,1681190267.7459335
6545,1681190267.7488616
7089,1681190267.768386
7565,1681190267.769331
8013,1681190267.7703333
8073,1681190267.7713306
8197,1681190267.7721536
8425,1681190267.7731545
8541,1681190267.8025994
8981,1681190267.8071685
7565,1681190267.8091018
9405,1681190267.8245857
9637,1681190267.826579
9769,1681190267.8454707
11345,1681190267.8786383
11617,1681190267.8796382
11697,1681190267.881634
11913,1681190267.8826296
12697,1681190267.8896518
12813,1681190267.8916056
12921,1681190267.8926046
13173,1681190267.899584
13413,1681190267.9005814
13489,1681190267.901579
13509,1681190267.901579
14105,1681190267.9085622
14145,1681190267.9095602
14221,1681190267.9105577
14677,1681190267.9115558
14709,1681190267.912553
14749,1681190267.912553
14961,1681190267.9135487
16269,1681190267.9205313
16677,1681190267.9215279
16717,1681190267.9225295
16801,1681190267.9235237
16877,1681190267.9235237
17117,1681190267.9245198
17309,1681190267.9255185
17785,1681190267.9265141
17985,1681190267.9275126
18985,1681190267.9454653
19385,1681190267.9474602
19413,1681190267.9474602
19441,1681190267.9488912
20677,1681190267.9502134
21761,1681190267.9703345
22697,1681190267.9852965
22913,1681190267.9872885
22949,1681190267.988283
23405,1681190267.9889157
23409,1681190267.9898448
24057,1681190267.990845
24309,1681190268.0042262
24465,1681190268.004866
25201,1681190268.0344462
25813,1681190268.0350955
26033,1681190268.0364468
26125,1681190268.0364468
26433,1681190268.0375865
26669,1681190268.0486705
26765,1681190268.049636
26993,1681190268.0506322
27101,1681190268.0613122
27405,1681190268.062307
27741,1681190268.0860686
28781,1681190268.1069827
29553,1681190268.1099665
29753,1681190268.1109643
30569,1681190268.1219347
30765,1681190268.1229312
31205,1681190268.1259236
31249,1681190268.1269207
31297,1681190268.1269207
32017,1681190268.127918
32877,1681190268.1408846
33325,1681190268.1578422
33453,1681190268.1588402
33605,1681190268.159836
33621,1681190268.1608336
34093,1681190268.1618307
34725,1681190268.1747994
34965,1681190268.1757963
35313,1681190268.1777916
36345,1681190268.1816673
36737,1681190268.1826665
36757,1681190268.1836789
37621,1681190268.1902602
37709,1681190268.1911044
37829,1681190268.1916487
37881,1681190268.1916487
38421,1681190268.2056766
38925,1681190268.2196732
39041,1681190268.2336245
39077,1681190268.234599
39741,1681190268.2365935
39773,1681190268.2375903
40457,1681190268.241579
40565,1681190268.241579
40589,1681190268.2425773
40813,1681190268.2425773
40993,1681190268.2435732
41025,1681190268.2435732
41261,1681190268.2510686
41517,1681190268.252039
41885,1681190268.2530391
42581,1681190268.2754235
42877,1681190268.2773635
43293,1681190268.2993038
44181,1681190268.328658
45133,1681190268.3296819
46113,1681190268.3360772
46901,1681190268.3370736
47429,1681190268.3380713
47445,1681190268.339068
47753,1681190268.340065
47785,1681190268.340065
47993,1681190268.3410633
49805,1681190268.3762774
50229,1681190268.3773265
50321,1681190268.3783116
50425,1681190268.3787017
50453,1681190268.3796973
51673,1681190268.3803122
51737,1681190268.3818007
52457,1681190268.3952365
52601,1681190268.3963506
52841,1681190268.3967507
53489,1681190268.4244022
54177,1681190268.425399
54813,1681190268.4271357
55221,1681190268.429506
55329,1681190268.4303722
55737,1681190268.4307709
56061,1681190268.43183
56097,1681190268.43283
56293,1681190268.4338274
56429,1681190268.4338274
56809,1681190268.4359996
58001,1681190268.440991
58049,1681190268.441989
58413,1681190268.4546478
58661,1681190268.4552374
58937,1681190268.4565146
59213,1681190268.4681299
59849,1681190268.4690282
60533,1681190268.4848073
60737,1681190268.4858027
60769,1681190268.4858027
61125,1681190268.4878075
61269,1681190268.5016847
61753,1681190268.5036888
61789,1681190268.5042746
61917,1681190268.505277
61953,1681190268.5063493
63765,1681190268.5404012
64021,1681190268.5413978
65329,1681190268.5665607
413,1681190268.568557
573,1681190268.569554
585,1681190268.569554
977,1681190268.5711024
1169,1681190268.5720465
1321,1681190268.5730479
1465,1681190268.5730479
2061,1681190268.595167
2897,1681190268.5960107
3141,1681190268.6000788
3325,1681190268.6010032
4341,1681190268.6017268
4473,1681190268.6030848
6541,1681190268.633195
6953,1681190268.6361892
7213,1681190268.6567907
7677,1681190268.6576962
8245,1681190268.6920915
9065,1681190268.6957674
9277,1681190268.699037
9333,1681190268.7000391
9433,1681190268.7020276
10677,1681190268.7243273
10789,1681190268.7253263
11021,1681190268.726667
11173,1681190268.7276704
11201,1681190268.7290437
11265,1681190268.7300327
11725,1681190268.7310355
12113,1681190268.757444
12629,1681190268.7584474
13173,1681190268.781002
13201,1681190268.7820082
13229,1681190268.7830026
13629,1681190268.7850432
13913,1681190268.7860336
14433,1681190268.7876115
14697,1681190268.8125317
15461,1681190268.816042
15713,1681190268.8170407
15897,1681190268.818072
16293,1681190268.8467216
16825,1681190268.847569
16889,1681190268.8488855
17341,1681190268.8753726
17457,1681190268.8763747
17549,1681190268.877371
17869,1681190268.8783686
17941,1681190268.907811
17997,1681190268.9088116
19005,1681190268.935767
19157,1681190268.938096
19277,1681190268.939174
19469,1681190268.940027
19881,1681190268.9409635
20277,1681190268.9562056
20317,1681190268.957418
20421,1681190268.9582791
20829,1681190268.9587748
20845,1681190268.9603426
21029,1681190268.9611492
21105,1681190268.9926944
22417,1681190269.0078754
23173,1681190269.0098963
23289,1681190269.0117838
23309,1681190269.0128992
24057,1681190269.0590277
24085,1681190269.0604124
24185,1681190269.0612788
24709,1681190269.0621583
26197,1681190269.082844
26405,1681190269.0838478
26797,1681190269.0857189
27361,1681190269.0906997
27717,1681190269.0916967
28593,1681190269.1096904
29021,1681190269.113641
29105,1681190269.1146398
30277,1681190269.116666
31717,1681190269.1236155
32589,1681190269.1246133
32713,1681190269.1256409
33197,1681190269.144593
33321,1681190269.1455588
33693,1681190269.1465554
33785,1681190269.1475527
33809,1681190269.1485517
34149,1681190269.1824963
34373,1681190269.1834602
34585,1681190269.184458
34745,1681190269.1856897
35277,1681190269.2058063
36305,1681190269.2187307
36457,1681190269.2207246
37061,1681190269.2267804
37269,1681190269.2287745
38417,1681190269.2327635
38833,1681190269.2347596
39137,1681190269.2387488
39277,1681190269.2397451
39561,1681190269.2404373
40213,1681190269.251602
40337,1681190269.2525997
40429,1681190269.252953
40913,1681190269.254637
41461,1681190269.2638922
42341,1681190269.2682004
42649,1681190269.2692027
42833,1681190269.270199
42849,1681190269.2708013
43525,1681190269.2741358
44049,1681190269.2784543
44577,1681190269.2792385
44609,1681190269.2802403
46073,1681190269.311255
46101,1681190269.311255
46253,1681190269.3122518
46485,1681190269.3132493
46641,1681190269.3142488
47053,1681190269.3162422
47265,1681190269.3182523
47345,1681190269.3192334
47357,1681190269.3192334
48405,1681190269.3461654
48461,1681190269.3461654
48569,1681190269.347162
49025,1681190269.3730485
49581,1681190269.3749988
50117,1681190269.3759952
