receiver_window_size,tm
4096,1681190264.308095
2048,1681190264.3110855
1024,1681190264.3115542
2048,1681190264.34063
1024,1681190264.3414402
2048,1681190264.3587022
1024,1681190264.3587022
2048,1681190264.3634715
4096,1681190264.3634715
2048,1681190264.3701272
1024,1681190264.372654
2048,1681190264.3736594
1024,1681190264.374079
2048,1681190264.376007
1024,1681190264.376007
2048,1681190264.376625
1024,1681190264.3856778
2048,1681190264.3866775
1024,1681190264.3898203
2048,1681190264.3908186
4096,1681190264.3908186
2048,1681190264.40085
4096,1681190264.4017172
2048,1681190264.4047067
1024,1681190264.4057052
2048,1681190264.4067018
1024,1681190264.4067018
2048,1681190264.4096937
1024,1681190264.4096937
2048,1681190264.410691
1024,1681190264.410691
2048,1681190264.4196684
4096,1681190264.4199734
8192,1681190264.9331892
16384,1681190264.934185
32768,1681190264.946934
16384,1681190264.9860597
8192,1681190264.9860597
16384,1681190264.9870558
8192,1681190265.0097427
16384,1681190265.0157194
8192,1681190265.0215774
4096,1681190265.0215774
8192,1681190265.0225794
4096,1681190265.0225794
8192,1681190265.0235744
4096,1681190265.024574
8192,1681190265.0255692
16384,1681190265.0272732
32768,1681190265.0282753
16384,1681190265.088769
8192,1681190265.088769
4096,1681190265.0897737
2048,1681190265.0897737
1024,1681190265.0902913
2048,1681190265.0902913
4096,1681190265.0913138
8192,1681190265.092288
16384,1681190265.092288
32768,1681190265.0932868
16384,1681190265.117857
32768,1681190265.118856
16384,1681190265.199995
8192,1681190265.2114613
16384,1681190265.213458
8192,1681190265.2174487
4096,1681190265.2174487
8192,1681190265.218446
4096,1681190265.218446
2048,1681190265.218446
4096,1681190265.2194426
8192,1681190265.2194426
4096,1681190265.2429
8192,1681190265.2438962
16384,1681190265.25786
32768,1681190265.2628496
16384,1681190265.2781618
8192,1681190265.2791648
16384,1681190265.2791648
8192,1681190265.2791648
16384,1681190265.281158
8192,1681190265.2841575
4096,1681190265.2851481
2048,1681190265.2851481
1024,1681190265.2870963
2048,1681190265.2870963
4096,1681190265.2880564
8192,1681190265.2890546
16384,1681190265.2890546
32768,1681190265.290052
16384,1681190265.3125727
32768,1681190265.3135688
16384,1681190265.315564
8192,1681190265.316558
4096,1681190265.3175583
8192,1681190265.318552
4096,1681190265.3205502
8192,1681190265.321548
16384,1681190265.321548
32768,1681190265.3225434
16384,1681190265.367641
32768,1681190265.3745034
16384,1681190265.3824956
8192,1681190265.38349
4096,1681190265.384485
2048,1681190265.3864796
1024,1681190265.3975058
2048,1681190265.3995059
1024,1681190265.4024875
2048,1681190265.4074745
4096,1681190265.414457
8192,1681190265.4204407
16384,1681190265.4224343
32768,1681190265.4447029
16384,1681190265.4784145
32768,1681190265.4834046
16384,1681190265.6031427
8192,1681190265.6041398
4096,1681190265.6284387
8192,1681190265.632439
16384,1681190265.6444206
32768,1681190265.6483996
16384,1681190265.6513927
32768,1681190265.6533873
16384,1681190265.6573756
32768,1681190265.6623633
16384,1681190265.6633618
8192,1681190265.6755443
4096,1681190265.680396
2048,1681190265.6813493
4096,1681190265.684335
2048,1681190265.6863387
4096,1681190265.68932
8192,1681190265.6963012
16384,1681190265.6983027
32768,1681190265.7012947
16384,1681190265.7852626
8192,1681190265.7862594
4096,1681190265.7862594
8192,1681190265.7872581
16384,1681190265.789254
32768,1681190265.7902484
16384,1681190265.8362763
32768,1681190265.8406053
16384,1681190265.8618615
32768,1681190265.863856
16384,1681190265.875957
32768,1681190265.8816206
16384,1681190265.8886073
8192,1681190265.8896565
4096,1681190265.893601
8192,1681190265.8966205
16384,1681190265.904555
32768,1681190265.9085505
16384,1681190265.9265897
